id,source,periodicity,geographic_extent,measure,divisions
alkohol- och narkotikabrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
bilbrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
fickstölder,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
"hot-, kränknings- och frihetsbrott",BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
lägenhets- och villainbrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
misshandelsfall,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
narkotikabrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
rån,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
skadegörelser på motorfordon,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
skadegörelsebrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
"stölder och snatteri i butik, varuhus.",BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
stölder ur och från motorfordon (stöldbrott),BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
stölder ur och från motorfordon (bilbrott),BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
bilstölder,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
bilstölder,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
cykelstölder,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
stöldbrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
fullbordade bilstölder,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
bilstöldsförsök,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
brottsanmälningar totalt,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
vapenbrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
trafikbrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
våldsbrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
vårdslöshet- och vållandebrott,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
övrig stölder,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
