id,label,label__sv,label__en,region_level,parent,neighbours,description
All nations,All nations,Alla länder,All nations,nation group,,,
All nations excluding Sweden,All nations excluding Sweden,Alla länder utom Sverige,All nations excluding Sweden,nation group,All nations,,
The Nordic countries excluding Sweden,The Nordic countries excluding Sweden,Alla nordiska länder utom Sverige,The Nordic countries excluding Sweden,nation group,All nations,,
Europe excluding the Nordic countries,Europe excluding the Nordic countries,Alla europeiska länder utom Norden,Europe excluding the Nordic countries,nation group,All nations,,
All nations excluding Europe,All nations excluding Europe,Alla länder utom Europa,All nations excluding Europe,nation group,All nations,,
Other European nations,Other European nations,Andra europeiska länder,,nation group,All nations,,The constitution of this group may vary
Other American nations,Other American nations,Andra amerikanska länder,Other American nations,nation group,All nations,,The constitution of this group may vary
Other Asia nations,Other Asia nations,Andra asiatiska länder,Other Asia nations,nation group,All nations,,The constitution of this group may vary
Other nations,Other nations,Andra länder,Other nations,nation group,All nations,,The constitution of this group may vary
Information about nation missing,Information about nation missing,Information om land saknas,Information about nation missing,,,,
