id,label,label_short,start,end,scb,cldr,wikidata,land,parent,region_level,neighbours
Blekinge län,Blekinge län,Blekinge,0,9,10,SE-10,Q102377,Götaland,Sweden,county,
Dalarnas län,Dalarnas län,Dalarna,0,9,20,SE-20,Q103732,Svealand,Sweden,county,
Gävleborgs län,Gävleborgs län,Gävleborg,0,9,21,SE-21,Q103699,Norrland,Sweden,county,
Hallands län,Hallands län,Halland,0,9,13,SE-13,Q103691,Götaland,Sweden,county,
Jämtlands län,Jämtlands län,Jämtland,0,9,23,SE-23,Q103679,Norrland,Sweden,county,
Jönköpings län,Jönköpings län,Jönköping,0,9,6,SE-06,Q103672,Götaland,Sweden,county,
Kalmar län,Kalmar län,Kalmar,0,9,8,SE-08,Q103707,Götaland,Sweden,county,
Kronobergs län,Kronobergs län,Kronoberg,0,9,7,SE-07,Q104746,Götaland,Sweden,county,
Norrbottens län,Norrbottens län,Norrbotten,0,9,25,SE-25,Q103686,Norrland,Sweden,county,
Örebro län,Örebro län,Örebro,0,9,18,SE-18,Q104257,Svealand,Sweden,county,
Östergötlands län,Östergötlands län,Östergötland,0,9,5,SE-05,Q104940,Svealand,Sweden,county,
Skåne län,Skåne län,Skåne,0,9,12,SE-12,Q103659,Götaland,Sweden,county,
Södermanlands län,Södermanlands län,Södermanland,0,9,4,SE-04,Q106915,Svealand,Sweden,county,
Stockholms län,Stockholms län,Stockholm,0,9,1,SE-01,Q104231,Svealand,Sweden,county,
Uppsala län,Uppsala län,Uppsala,0,9,3,SE-03,Q104926,Svealand,Sweden,county,
Värmlands län,Värmlands län,Värmland,0,9,17,SE-17,Q106789,Svealand,Sweden,county,
Västerbottens län,Västerbottens län,Västerbotten,0,9,24,SE-24,Q104877,Norrland,Sweden,county,
Västernorrlands län,Västernorrlands län,Västernorrland,0,9,22,SE-22,Q104891,Norrland,Sweden,county,
Västmanlands län,Västmanlands län,Västmanland,0,9,19,SE-19,Q105075,Svealand,Sweden,county,
Västra Götalands län,Västra Götalands län,Västra Götaland,1998-01-01,9,14,SE-14,Q103093,Götaland,Sweden,county,
Skaraborgs län,Skaraborgs län,Skaraborg,0,1997-12-31,16,SE-16,Q922842,Götaland,Sweden,county,
Älvsborgs län,Älvsborgs län,Älvsborg,0,1997-12-31,15,SE-15,Q254990,Götaland,Sweden,county,
Göteborgs och Bohus län,Göteborgs och Bohus län,Göteborgs och Bohus län,0,1997-12-31,14,SE-14,Q579801,Götaland,Sweden,county,
Gotlands län,Gotlands län,Gotland,0,9,9,SE-09,Q103738,Svealand,Sweden,county,
